Frechet Distance,Hausdorff Distance,Wasserstein Distance,Model
0.2454722380479008,0.2454722380479008,0.2454722380479008,case_study_no_advection
0.24547195543531786,0.24547195543531786,0.24547195543531786,case_study_no_advection
0.24547209975132758,0.24547209975132758,0.24547209975132758,case_study_no_advection
0.24547185313637665,0.24547185313637665,0.24547185313637665,case_study_no_advection
0.245472313920012,0.245472313920012,0.245472313920012,case_study_no_advection
0.2454723458932195,0.2454723458932195,0.2454723458932195,case_study_no_advection
0.24547208672928333,0.24547208672928333,0.24547208672928333,case_study_no_advection
0.24547201997410736,0.24547201997410736,0.24547201997410736,case_study_no_advection
0.24547211259102786,0.24547211259102786,0.24547211259102786,case_study_no_advection
0.24547212552310113,0.24547212552310113,0.24547212552310113,case_study_no_advection
0.24547206288082365,0.24547206288082365,0.24547206288082365,case_study_no_advection
