model,quantile,param,summary_statistic,Cramer-von Mises Distance,Frechet Distance,Hausdorff Distance,Wasserstein Distance
0.025_noise,1%,s,StDev,0.0001934832544341553,0.00023226622434725674,0.00026012652072957443,0.00022283775854088677
0.025_noise,1%,s,Lower Bound,0.00019078592001247482,1.8894961532641464e-05,2.0011561755778114e-05,1.5632705052629644e-05
0.025_noise,1%,s,Upper Bound,0.000921964673214136,0.0008097420728250021,0.0009254919387310102,0.0007894302649312185
0.025_noise,1%,s,RMSE,0.00045879769369453047,0.00032057680371768414,0.00034470609655250033,0.00027254431176347734
0.025_noise,0.1%,cx,Mean,0.017761501377903558,0.49768508809323286,0.49969224938056656,0.5072173385449222
0.025_noise,0.1%,cx,Median,0.012711166269842445,0.4973307135173096,0.49892472139863125,0.5062806401286486
0.025_noise,0.1%,cx,StDev,0.015689520265710265,0.017512935691060785,0.015680194476141943,0.016248932088004642
0.025_noise,0.1%,cx,Lower Bound,0.0005171797474042914,0.46597045857442754,0.4725524701601549,0.48018207147064806
0.025_noise,0.1%,cx,Upper Bound,0.05678723551880372,0.530751904134392,0.5302578492447786,0.5387624664654298
0.025_noise,0.1%,cx,RMSE,0.4872892974924197,0.002800282300731198,0.0012745190620702485,0.006333647804812912
0.025_noise,0.1%,cy,Mean,0.18613817409316277,0.47856965058299794,0.4636706172599256,0.5123442915051024
0.025_noise,0.1%,cy,Median,0.18276575464209774,0.47753513930485164,0.46292976859479174,0.5112567720305152
0.025_noise,0.1%,cy,StDev,0.02244217894059311,0.016934117688362,0.015121016993262605,0.016186442291318933
0.025_noise,0.1%,cy,Lower Bound,0.15241873179787543,0.44990057887117957,0.43783928811857925,0.4856777706785932
0.025_noise,0.1%,cy,Upper Bound,0.23610814621894474,0.5117771371539632,0.4928106169148289,0.5441852053161877
0.025_noise,0.1%,cy,RMSE,0.3172358344477606,0.022481731336646295,0.03707732183444631,0.011284934531488662
0.025_noise,0.1%,s,Mean,0.0005081196257940725,0.00017762969591751874,0.0002421667860780996,0.00015981743027865107
0.025_noise,0.1%,s,Median,0.0004954087103369826,0.00017392140534373208,0.00023345626439339403,0.00014793890497462838
0.025_noise,0.1%,s,StDev,0.00011594706238705111,0.0001036495845835893,0.00014149053627523567,0.00010453150774835476
0.025_noise,0.1%,s,Lower Bound,0.0003131508976871061,1.0147387745377833e-05,1.3868147481544374e-05,7.202234828586382e-06
0.025_noise,0.1%,s,Upper Bound,0.0007710342674485417,0.0003688391504465826,0.0005157491259274348,0.0003723532837754814
0.025_noise,0.1%,s,RMSE,0.00044543418247363714,0.00012403867093401858,0.00018358353643678667,9.808785411717321e-05
0.05_noise,5%,cx,Mean,0.11693021472983439,0.45543260774802063,0.4660205274121729,0.5624188575525584
0.05_noise,5%,cx,Median,0.10515812123561105,0.45336265941970644,0.463474857317148,0.56030515015301
0.05_noise,5%,cx,StDev,0.07992439917026525,0.06390862799971829,0.06481111768296527,0.06761623757186266
0.05_noise,5%,cx,Lower Bound,0.004584319333869721,0.34173773288769593,0.3505759917553493,0.44731577936528083
0.05_noise,5%,cx,Upper Bound,0.27993211419036024,0.5777041083598392,0.5887547641955262,0.6925283089874015
0.05_noise,5%,cx,RMSE,0.3948423815009348,0.046638649346478905,0.03652688323221049,0.06030713096074461
