model,quantile,param,summary_statistic,Cramer-von Mises Distance,Frechet Distance,Hausdorff Distance,Wasserstein Distance
no_noise,1%,s,Upper Bound,0.000326775127543559,0.0009167697832773396,0.0009178094030852784,0.0008584501900093457
no_noise,1%,s,RMSE,9.11717526678839e-05,0.00031658486950413527,0.00031472027653032527,0.0002606106390422318
no_noise,0.1%,cx,Mean,0.34148356945795283,0.4927874571217378,0.492807697890787,0.49713966356765094
no_noise,0.1%,cx,Median,0.34194664734211244,0.491889432370789,0.4918991446963835,0.49637914181768067
no_noise,0.1%,cx,StDev,0.030241570668672803,0.015551612468356483,0.01552598514541754,0.015179162474979286
no_noise,0.1%,cx,Lower Bound,0.2851050975481867,0.4662214822475589,0.4662856583893842,0.47176917530062795
no_noise,0.1%,cx,Upper Bound,0.3951443034669314,0.5238375145083862,0.5238411561903028,0.5266110111503923
no_noise,0.1%,cx,RMSE,0.15805955664423196,0.008139444512447335,0.00813028939195387,0.0036788539907882277
no_noise,0.1%,cy,Mean,0.34140990557241,0.4951032433243738,0.4950562099263865,0.49706217586410145
no_noise,0.1%,cy,Median,0.341935919840646,0.49416255418527305,0.4941186084590802,0.49620915597220433
no_noise,0.1%,cy,StDev,0.030377992064744914,0.014564394200230707,0.014594408457592235,0.01518418774613874
no_noise,0.1%,cy,Lower Bound,0.2846986080383845,0.47068417080983255,0.4705617544596275,0.4717092701918674
no_noise,0.1%,cy,Upper Bound,0.3953538038107448,0.5238660047583525,0.5239056402572471,0.5264589831270776
no_noise,0.1%,cy,RMSE,0.15807184637952937,0.005877961830059258,0.005921282852197123,0.0038583597842157206
no_noise,0.1%,s,Mean,8.158785490720705e-05,0.00019047472940379492,0.000190150926193033,0.00016424260499885688
no_noise,0.1%,s,Median,7.892887850853171e-05,0.00017483989169999762,0.0001743637576612579,0.0001465883344838565
no_noise,0.1%,s,StDev,2.4526000691897117e-05,0.00012480604928860123,0.00012510607576743095,0.00011172846312042208
no_noise,0.1%,s,Lower Bound,4.3215677303786724e-05,9.06948983261e-06,8.678465660357115e-06,7.720352332341983e-06
no_noise,0.1%,s,Upper Bound,0.0001310217437539221,0.0004427313740724865,0.0004436096032766132,0.00040038874064216403
no_noise,0.1%,s,RMSE,2.8953455816421133e-05,0.00012498256274484924,0.0001245127094284494,9.674377620352857e-05
