model,quantile,param,summary_statistic,Energy Distance,Wasserstein Distance
n0.5_smoothing,0.1%,a,Lower Bound,0.5871112269707446,0.6198579153932737
n0.5_smoothing,0.1%,a,Upper Bound,0.5871112269707446,0.6198579153932737
n0.5_smoothing,0.1%,b,Mean,0.580008272046113,2.257580174512391
n0.5_smoothing,0.1%,b,Median,0.580008272046113,2.257580174512391
n0.5_smoothing,0.1%,b,Lower Bound,0.580008272046113,2.257580174512391
n0.5_smoothing,0.1%,b,Upper Bound,0.580008272046113,2.257580174512391
n0_no_smoothing,5%,a,Mean,1.2483841508440092,-0.010806699151176921
n0_no_smoothing,5%,a,Median,1.2249188917789438,-0.09663217876523955
n0_no_smoothing,5%,a,Lower Bound,0.07683933539648788,-0.7480662643307094
n0_no_smoothing,5%,a,Upper Bound,2.7082411529509685,1.1831898297492773
n0_no_smoothing,5%,b,Mean,3.5121828538623605,-0.26678045079440404
n0_no_smoothing,5%,b,Median,2.904813829616243,1.7090328919418383
n0_no_smoothing,5%,b,Lower Bound,-1.5498050112903228,-9.786327812270223
n0_no_smoothing,5%,b,Upper Bound,9.609701845042867,5.198844696096446
n0_no_smoothing,1%,a,Mean,0.951584651348546,0.36024877931858834
n0_no_smoothing,1%,a,Median,0.810694185860088,0.21420410084429609
n0_no_smoothing,1%,a,Lower Bound,0.41701685132493227,0.04688960850311861
n0_no_smoothing,1%,a,Upper Bound,1.853981163424755,1.0287965588878187
n0_no_smoothing,1%,b,Mean,1.8675810142692213,0.39197938400253546
n0_no_smoothing,1%,b,Median,1.8296597159513137,1.8201634430417233
n0_no_smoothing,1%,b,Lower Bound,0.5413351575419783,-7.932404441121304
n0_no_smoothing,1%,b,Upper Bound,3.6574422665006106,3.372139709571227
n0_no_smoothing,0.1%,a,Mean,0.5871112269707446,0.6198579153932737
n0_no_smoothing,0.1%,a,Median,0.5871112269707446,0.6198579153932737
n0_no_smoothing,0.1%,a,Lower Bound,0.5871112269707446,0.6198579153932737
n0_no_smoothing,0.1%,a,Upper Bound,0.5871112269707446,0.6198579153932737
n0_no_smoothing,0.1%,b,Mean,0.580008272046113,2.257580174512391
n0_no_smoothing,0.1%,b,Median,0.580008272046113,2.257580174512391
n0_no_smoothing,0.1%,b,Lower Bound,0.580008272046113,2.257580174512391
n0_no_smoothing,0.1%,b,Upper Bound,0.580008272046113,2.257580174512391
